4
16 8
11.25 14 1.25
13.4375 14 1.5625
15.3125 14 1.6875
16.875 14 1.625
18.125 14 1.375
19.0625 14 1.1875
19.6875 14 1.0625
20 14 1
16 8
0 0 10
0.3125 0 10
0.9375 0 10
1.875 0 10
3.125 0 10
4.6875 0 10
6.5625 0 10
8.75 0 10
11.25 0 10
13.4375 0 10
15.3125 0 10
16.875 0 10
18.125 0 10
19.0625 0 10
19.6875 0 10
20 0 10
0 2 10
0.3125 2 10
0.9375 2 10
1.875 2 10
3.125 2 10
4.6875 2 10
6.5625 2 10
8.75 2 10
11.25 2 10
13.4375 2 10
15.3125 2 10
16.875 2 10
18.125 2 10
19.0625 2 10
19.6875 2 10
20 2 10
0 4 10
0.3125 4 10
0.9375 4 10
1.875 4 10
3.125 4 10
4.6875 4 10
6.5625 4 10
8.75 4 10
11.25 4 10
13.4375 4 10
15.3125 4 10
16.875 4 10
18.125 4 10
19.0625 4 10
19.6875 4 10
20 4 10
0 6 10
0.3125 6 10
0.9375 6 10
1.875 6 10
3.125 6 10
4.6875 6 10
6.5625 6 10
8.75 6 10
11.25 6 10
13.4375 6 10
15.3125 6 10
16.875 6 10
18.125 6 10
19.0625 6 10
19.6875 6 10
20 6 10
0 8 10
0.3125 8 10
0.9375 8 10
1.875 8 10
3.125 8 10
4.6875 8 10
6.5625 8 10
8.75 8 10
11.25 8 10
13.4375 8 10
15.3125 8 10
16.875 8 10
18.125 8 10
19.0625 8 10
19.6875 8 10
20 8 10
0 10 10
0.3125 10 10
0.9375 10 10
1.875 10 10
3.125 10 10
4.6875 10 10
6.5625 10 10
8.75 10 10
11.25 10 10
13.4375 10 10
15.3125 10 10
16.875 10 10
18.125 10 10
19.0625 10 10
19.6875 10 10
20 10 10
0 12 10
0.3125 12 10
0.9375 12 10
1.875 12 10
3.125 12 10
4.6875 12 10
6.5625 12 10
8.75 12 10
11.25 12 10
13.4375 12 10
15.3125 12 10
16.875 12 10
18.125 12 10
19.0625 12 10
19.6875 12 10
20 12 10
0 14 10
0.3125 14 10
0.9375 14 10
1.875 14 10
3.125 14 10
4.6875 14 10
6.5625 14 10
8.75 14 10
11.25 14 10
13.4375 14 10
15.3125 14 10
16.875 14 10
18.125 14 10
19.0625 14 10
19.6875 14 10
20 14 10
16 8
0 0 15
0.3125 0 15.125
0.9375 0 15.375
1.875 0 15.75
3.125 0 16.25
4.6875 0 16.375
6.5625 0 16.125
8.75 0 15.5
11.25 0 14.5
13.4375 0 13.875
15.3125 0 13.625
16.875 0 13.75
18.125 0 14.25
19.0625 0 14.625
19.6875 0 14.875
20 0 15
0 2 15
0.3125 2 15.125
0.9375 2 15.375
1.875 2 15.75
3.125 2 16.25
4.6875 2 16.375
6.5625 2 16.125
8.75 2 15.5
11.25 2 14.5
13.4375 2 13.875
15.3125 2 13.625
16.875 2 13.75
18.125 2 14.25
19.0625 2 14.625
19.6875 2 14.875
20 2 15
0 4 15
0.3125 4 15.125
0.9375 4 15.375
1.875 4 15.75
3.125 4 16.25
4.6875 4 16.375
6.5625 4 16.125
8.75 4 15.5
11.25 4 14.5
13.4375 4 13.875
15.3125 4 13.625
16.875 4 13.75
18.125 4 14.25
19.0625 4 14.625
19.6875 4 14.875
20 4 15
0 6 15
0.3125 6 15.125
0.9375 6 15.375
1.875 6 15.75
3.125 6 16.25
4.6875 6 16.375
6.5625 6 16.125
8.75 6 15.5
11.25 6 14.5
13.4375 6 13.875
15.3125 6 13.625
16.875 6 13.75
18.125 6 14.25
19.0625 6 14.625
19.6875 6 14.875
20 6 15
0 8 15
0.3125 8 15.125
0.9375 8 15.375
1.875 8 15.75
3.125 8 16.25
4.6875 8 16.375
6.5625 8 16.125
8.75 8 15.5
11.25 8 14.5
13.4375 8 13.875
15.3125 8 13.625
16.875 8 13.75
18.125 8 14.25
19.0625 8 14.625
19.6875 8 14.875
20 8 15
0 10 15
0.3125 10 15.125
0.9375 10 15.375
1.875 10 15.75
3.125 10 16.25
4.6875 10 16.375
6.5625 10 16.125
8.75 10 15.5
11.25 10 14.5
13.4375 10 13.875
15.3125 10 13.625
16.875 10 13.75
18.125 10 14.25
19.0625 10 14.625
19.6875 10 14.875
20 10 15
0 12 15
0.3125 12 15.125
0.9375 12 15.375
1.875 12 15.75
3.125 12 16.25
4.6875 12 16.375
6.5625 12 16.125
8.75 12 15.5
11.25 12 14.5
13.4375 12 13.875
15.3125 12 13.625
16.875 12 13.75
18.125 12 14.25
19.0625 12 14.625
19.6875 12 14.875
20 12 15
0 14 15
0.3125 14 15.125
0.9375 14 15.375
1.875 14 15.75
3.125 14 16.25
4.6875 14 16.375
6.5625 14 16.125
8.75 14 15.5
11.25 14 14.5
13.4375 14 13.875
15.3125 14 13.625
16.875 14 13.75
18.125 14 14.25
19.0625 14 14.625
19.6875 14 14.875
20 14 15
14 8
0 0 10
5 0 10
5.3125 0 9.8125
5.9375 0 9.4375
6.875 0 8.875
8.125 0 8.125
9.375 0 7.75
10.625 0 7.75
11.875 0 8.125
13.125 0 8.875
14.0625 0 9.4375
14.6875 0 9.8125
15 0 10
20 0 10
0 2 10
5 2 10
5.3125 2 9.8125
5.9375 2 9.4375
6.875 2 8.875
8.125 2 8.125
9.375 2 7.75
10.625 2 7.75
11.875 2 8.125
13.125 2 8.875
14.0625 2 9.4375
14.6875 2 9.8125
15 2 10
20 2 10
0 4 10
5 4 10
5.3125 4 9.8125
5.9375 4 9.4375
6.875 4 8.875
8.125 4 8.125
9.375 4 7.75
10.625 4 7.75
11.875 4 8.125
13.125 4 8.875
14.0625 4 9.4375
14.6875 4 9.8125
15 4 10
20 4 10
0 6 10
5 6 10
5.3125 6 9.8125
5.9375 6 9.4375
6.875 6 8.875
8.125 6 8.125
9.375 6 7.75
10.625 6 7.75
11.875 6 8.125
13.125 6 8.875
14.0625 6 9.4375
14.6875 6 9.8125
15 6 10
20 6 10
0 8 10
5 8 10
5.3125 8 9.8125
5.9375 8 9.4375
6.875 8 8.875
8.125 8 8.125
9.375 8 7.75
10.625 8 7.75
11.875 8 8.125
13.125 8 8.875
14.0625 8 9.4375
14.6875 8 9.8125
15 8 10
20 8 10
0 10 10
5 10 10
5.3125 10 9.8125
5.9375 10 9.4375
6.875 10 8.875
8.125 10 8.125
9.375 10 7.75
10.625 10 7.75
11.875 10 8.125
13.125 10 8.875
14.0625 10 9.4375
14.6875 10 9.8125
15 10 10
20 10 10
0 12 10
5 12 10
5.3125 12 9.8125
5.9375 12 9.4375
6.875 12 8.875
8.125 12 8.125
9.375 12 7.75
10.625 12 7.75
11.875 12 8.125
13.125 12 8.875
14.0625 12 9.4375
14.6875 12 9.8125
15 12 10
20 12 10
0 14 10
5 14 10
5.3125 14 9.8125
5.9375 14 9.4375
6.875 14 8.875
8.125 14 8.125
9.375 14 7.75
10.625 14 7.75
11.875 14 8.125
13.125 14 8.875
14.0625 14 9.4375
14.6875 14 9.8125
15 14 10
20 14 10
0
